"β"	"beta"
"転記"	"transcription"
"転身"	"turnover"
"転送"	"transfer"
"転送"	"transmission"
"軸"	"axis"
"軸"	"axle"
"軸"	"shaft"
"軸"	"stem"
"軸" "線"	"axis"
"軽"	"light"
"軽" "目"	"light"
"軽" "舟"	"skiff"
"軽" "銀"	"aluminium"
"軽" "銀"	"aluminum"
"軽" "電機"	"appliance"
"軽々"	"carelessly"
"軽々"	"easily"
"軽々"	"lightly"
"軽々しい"	"careless"
"軽々しい"	"frivolous"
"軽々しい"	"indiscreet"
"軽々しい"	"thoughtless"
"軽い"	"agile"
"軽い"	"easy"
"軽い"	"gentle"
"軽い"	"light"
"軽い"	"minor"
"軽い"	"nimble"
"軽い"	"simple"
"軽い"	"slight"
"軽い"	"small"
"軽い"	"soft"
"軽い"	"trivial"
"軽い"	"unimportant"
"軽い" "気持ち"	"casual"
"軽べつ"	"disdain"
"軽べつ"	"scorn"
"軽やか"	"easy"
"軽やか"	"light"
"軽やか"	"minor"
"軽んずる"	"despise"
"軽侮"	"contempt"
"軽侮"	"scorn"
"軽微"	"insignificant"
"軽微"	"little"
"軽微"	"slight"
"軽快"	"casual"
"軽快"	"jaunty"
"軽快"	"light"
"軽快"	"nimble"
"軽快"	"rhythmical"
"軽減"	"abatement"
"軽減"	"reduction"
"軽率"	"careless"
"軽率"	"hasty"
"軽率"	"rash"
"軽率"	"thoughtless"
"軽蔑"	"disdain"
"軽蔑"	"scorn"
"軽薄"	"frivolous"
"軽薄"	"superficial"
"軽視"	"despise"
"軽視"	"ignore"
"軽視"	"neglect"
"軽視"	"slight"
"較べる"	"compare"
"較べる"	"compete"
"載せる"	"along with"
"載せる"	"along" "with"
"載せる"	"carry"
"載せる"	"deceive"
"載せる"	"excite"
"載せる"	"load"
"載せる"	"publish"
"載せる"	"run"
"載る"	"appear"
"載る"	"board"
"載る"	"join"
"載る"	"mount"
"載る"	"spread"
"輝かしい"	"brilliant"
"輝かしい"	"glorious"
"輝かす"	"brighten"
"輝き"	"radiance"
"輝く"	"glitter"
"輝く"	"shine"
"輝く"	"sparkle"
"輩"	"bunch"
"輩"	"clan"
"輩"	"comrade"
"輩"	"family"
"輩"	"fellow"
"輩"	"gang"
"輩"	"group"
"輩"	"party"
"輩"	"set"
"輪"	"circle"
"輪"	"hoop"
"輪"	"loop"
"輪"	"ring"
"輪"	"wheel"
"輪" "胴"	"chamber"
"輪番"	"rotation"
"輪番"	"sequence"
"輪番"	"turn"
"輪郭"	"border"
"輪郭"	"outline"
"輪郭" "線"	"outline"
"輸入"	"import"
"輸入"	"introduction"
"輸出"	"export"
"輸送"	"transport"
"輸送"	"transportation"
"輸送" "機"	"transport"
"輸送" "機関"	"transport"
"輸送" "量"	"traffic"
"輻"	"spoke"
"輿"	"litter"
"轆轤"	"lathe"
"轆轤"	"pulley"
"轍"	"furrow"
"轍"	"rut"
"轟く"	"famous"
"轟く"	"roar"
"轟く"	"throb"
"辛い"	"adverse"
"辛い"	"bitter"
"辛い"	"harsh"
"辛い"	"hot"
"辛い"	"painful"
"辛い"	"salty"
"辛い"	"spicy"
"辛い"	"tough"
"辛うじて"	"barely"
"辛うじて"	"narrowly"
"辛くも"	"barely"
"辛くも"	"narrowly"
"辛らつ"	"bitter"
"辛らつ"	"sharp"
"辛口"	"harsh"
"辛口"	"salty"
"辛子"	"mustard"
"辛抱"	"endurance"
"辛抱"	"patience"
"辛抱強い"	"patient"
"辛気臭い"	"boring"
"辛気臭い"	"irritating"
"辞"	"address"
"辞"	"expression"
"辞"	"language"
"辞"	"phrase"
"辞"	"remark"
"辞"	"speech"
"辞"	"term"
"辞"	"word"
"辞" "林"	"dictionary"
"辞" "柄"	"excuse"
"辞" "柄"	"pretext"
"辞す"	"decline"
"辞す"	"quit"
"辞す"	"resign"
"辞す"	"retire"
"辞する"	"decline"
"辞する"	"quit"
"辞する"	"resign"
"辞する"	"retire"
"辞める"	"leave"
"辞める"	"quit"
"辞める"	"resign"
"辞める"	"retire"
"辞世"	"death"
"辞任"	"resign"
"辞任"	"resignation"
"辞典"	"dictionary"
"辞書"	"dictionary"
"辞書"	"lexicon"
"辞書" "部門"	"lexicon"
"辞職"	"resignation"
"辞職" "願"	"resignation"
"辞退"	"declining"
"辞退"	"refusal"
"辞退"	"withdrawal"
"辟易"	"wince"
"辰巳"	"southeast"
"農"	"agriculture"
"農" "未"	"peasant"
"農事"	"agriculture"
"農園"	"plantation"
"農場"	"farm"
"農場" "主"	"farmer"
"農夫"	"peasant"
"農学"	"agriculture"
"農家"	"farmer"
"農村"	"rural"
"農業"	"agriculture"
"農業" "家"	"farmer"
"農耕"	"agriculture"
"辺"	"area"
"辺"	"edge"
"辺"	"shore"
"辺"	"side"
"辺"	"vicinity"
"辺" "泥"	"pete"
"辺り"	"nearby"
"辺り"	"neighborhood"
"辺り"	"neighbourhood"
"辺り"	"vicinity"
"辺境"	"border"
"辺境"	"frontier"
"辻"	"crossroad"
"辻"	"street"
"辻" "風"	"commotion"
"辻" "風"	"sensation"
"辻褄"	"consistency"
"込み上げる"	"fill"
"込み入る"	"complicated"
"込み入る"	"crowded"
"込む"	"complex"
"込む"	"crowded"
"込む"	"packed"
"込む"	"remain"
"込める"	"include"
"辿る"	"follow up"
"辿る"	"follow"
"辿る"	"follow" "up"
"辿る"	"pursue"
"迂回"	"circumvent"
"迂回"	"detour"
"迂回" "路"	"detour"
"迂回" "路"	"diversion"
"迂闊"	"careless"
"迂闊"	"stupid"
"迂闊"	"thoughtless"
"迄"	"as far as"
"迄"	"until"
"迄" "に"	"before"
"迄" "に"	"by"
"迅速"	"fast"
"迅速"	"prompt"
"迅速"	"quick"
"迅速"	"rapid"
"迅速"	"swift"
"迎え"	"greeting"
"迎え"	"meeting"
"迎え"	"welcome"
"迎える"	"accept"
"迎える"	"approach"
"迎える"	"invite"
"迎える"	"receive"
"迎える"	"summon"
"迎える"	"welcome"
"迎え撃つ"	"ambush"
"迎え撃つ"	"assault"
"迎え撃つ"	"attack"
"迎合"	"flattery"
"迎撃"	"intercept"
"近" "多"	"kinda"
"近" "路"	"shortcut"
"近々"	"nearness"
"近々"	"soon"
"近い"	"close"
"近い"	"near"
"近い"	"short"
"近く"	"close to"
"近く"	"close" "to"
"近く"	"near"
"近く"	"nearly"
"近く"	"neighborhood"
"近く"	"neighbourhood"
"近く"	"shortly"
"近く"	"soon"
"近く"	"vicinity"
"近ごろ"	"lately"
"近ごろ"	"nowadays"
"近ごろ"	"recently"
"近づき"	"acquaintance"
"近づく"	"approach"
"近付き"	"acquaintance"
"近付く"	"approach"
"近代化"	"modernization"
"近代化"	"modernize"
"近代的"	"modern"
"近寄る"	"approach"
"近所"	"neighborhood"
"近所"	"neighbourhood"
"近接"	"adjacent"
"近接"	"adjoin"
"近日"	"soon"
"近眼"	"nearsightedness"
"近視"	"nearsightedness"
"近辺"	"neighborhood"
"近辺"	"neighbourhood"
"近辺"	"vicinity"
"近近"	"nearness"
"近近"	"soon"
"近道"	"shortcut"
"近隣"	"neighborhood"
"近隣"	"neighbourhood"
"近隣"	"vicinity"
"近頃"	"lately"
"近頃"	"nowadays"
"近頃"	"recently"
"返し"	"return"
"返し"	"reversal"
"返す"	"overturn"
"返す"	"restore"
"返す"	"retaliate"
"返す"	"return"
"返る"	"completely"
"返る"	"extremely"
"返る"	"return"
"返上"	"relinquish"
"返事"	"answer"
"返事"	"reply"
"返事"	"response"
"返信"	"reply"
"返却"	"repayment"
"返報"	"requital"
"返済"	"redemption"
"返済"	"refund"
"返済"	"reimbursement"
"返済"	"repayment"
"返礼"	"revenge"
"返答"	"reply"
"返還"	"restoration"
"返還"	"return"
"返金"	"repayment"
"迫る"	"press"
"迫力"	"appeal"
"迫力"	"force"
"迫力"	"intensity"
"迫力"	"strength"
"迫真"	"reality"
"述" "部"	"predicate"
"述べる"	"express"
"述べる"	"mention"
"述べる"	"state"
"述懐"	"recollection"
"述語"	"predicate"
"迷い"	"doubt"
"迷い"	"hesitation"
"迷う"	"hesitate"
"迷わす"	"bewilder"
"迷わす"	"delude"
"迷わす"	"fascinate"
"迷わす"	"mislead"
"迷わす"	"perplex"
"迷わす"	"puzzle"
"迷信"	"superstition"
"迷宮"	"labyrinth"
"迷宮"	"maze"
"迷宮"	"mystery"
"迷宮入り"	"unresolved"
"迷彩"	"camouflage"
"迷彩"	"disguise"
"迷惑"	"annoyance"
"迷惑"	"bother"
"迷惑"	"trouble"
"迷惑" "メール"	"spam"
"迷路"	"labyrinth"
"迷路"	"maze"
"追い" "手"	"pursuer"
"追い" "追い"	"by and by"
"追い" "追い"	"gradually"
"追いかける"	"chase"
"追いかける"	"pursue"
"追いつく"	"overtake"
"追いつめる"	"corner"
"追い付く"	"overtake"
"追い出す"	"expel"
"追い剥ぎ"	"highwayman"
"追い回す"	"hang on"
"追い回す"	"hang" "on"
"追い抜き"	"pursuit"
"追い抜く"	"outdistance"
"追い抜く"	"pass"
"追い掛ける"	"chase"
"追い掛ける"	"pursue"
"追い求める"	"pursue"
"追い着く"	"overtake"
"追い落とす"	"disperse"
"追い詰める"	"corner"
"追い越す"	"outdistance"
"追い越す"	"pass"
"追い込む"	"corner"
"追い込む"	"drive"
"追い込む"	"herd"
"追う"	"chase"
"追う"	"drive"
"追う"	"expel"
"追う"	"follow"
"追う"	"oust"
"追う"	"pursue"
"追っかけ"	"soon"
"追って"	"afterwards"
"追って"	"by and by"
"追って"	"later on"
"追って"	"later" "on"
"追って"	"presently"
"追って"	"shortly"
"追っ手"	"pursuer"
"追っ掛け"	"soon"
"追加"	"addition"
"追加"	"append"
"追加"	"appendix"
"追加"	"supplement"
"追加" "削除"	"revise"
"追及"	"investigation"
"追及"	"pressing"
"追及"	"questioning"
"追従"	"compliance"
"追従"	"flattery"
"追悼"	"memorial"
"追憶"	"recollection"
"追撃"	"pursuit"
"追放"	"banishment"
"追放"	"exile"
"追求"	"pursue"
"追求"	"pursuit"
"追求"	"search"
"追求"	"seek"
"追究"	"enquiry"
"追究"	"inquiry"
"追究"	"investigation"
"追認"	"confirmation"
"追認"	"ratification"
"追跡"	"pursuit"
"追跡" "者"	"pursuer"
"追随"	"follow"
"退かす"	"remove"
"退く"	"concede"
"退く"	"ebb"
"退く"	"leave"
"退く"	"lessen"
"退く"	"move"
"退く"	"quit"
"退く"	"recede"
"退く"	"resign"
"退く"	"retire"
"退く"	"retreat"
"退く"	"subside"
"退く"	"withdraw"
"退ける"	"dislodge"
"退ける"	"reject"
"退ける"	"remove"
"退任"	"resignation"
"退任"	"retirement"
"退位"	"abdication"
"退出"	"withdrawal"
"退却"	"retirement"
"退却"	"retreat"
"退却"	"withdrawal"
"退去"	"departure"
"退去"	"evacuation"
"退去"	"recession"
"退場"	"exit"
"退学" "処分"	"expulsion"
"退屈"	"boredom"
"退廃"	"corruption"
"退廃"	"deterioration"
"退廃" "的"	"degenerate"
"退散"	"break up"
"退散"	"break" "up"
"退散"	"disperse"
"退治"	"extermination"
"退社"	"resignation"
"退職"	"retirement"
"退職" "年金"	"pension"
"退避"	"evacuation"
"退避"	"save"
"退陣"	"retirement"
"退陣"	"retreat"
"退陣"	"withdrawal"
"送り"	"escapement"
"送り"	"funeral"
"送り" "つける"	"send"
"送り" "人"	"sender"
"送り" "手"	"sender"
"送り主"	"sender"
"送り付ける"	"send"
"送り出す"	"forward"
"送り届ける"	"deliver"
"送る"	"bury"
"送る"	"dispatch"
"送る"	"pass"
"送る"	"send"
"送る"	"spend"
"送付" "先"	"addressee"
"送信"	"transmission"
"送信" "側"	"sender"
"送信" "者"	"sender"
"送別"	"farewell"
"送料"	"carriage"
"送料"	"postage"
"送話"	"transmission"
"送風"	"ventilation"
"送風" "口"	"vent"
"逃げ"	"escape"
"逃げ"	"getaway"
"逃げ" "走る"	"flee"
"逃げる"	"escape"
"逃げ去る"	"disappear"
"逃げ口上"	"excuse"
"逃げ場"	"escape"
"逃げ場"	"refuge"
"逃れる"	"escape"
"逃亡"	"escape"
"逃亡"	"flight"
"逃亡" "中"	"at large"
"逃亡" "中"	"at" "large"
"逃亡" "者"	"runaway"
"逃走"	"desertion"
"逃走"	"escape"
"逃走"	"flight"
"逃避"	"escape"
"逃避"	"flight"
"逃避行"	"flight"
"逆 回転"	"counter"
"逆"	"converse"
"逆"	"opposite"
"逆"	"reverse"
"逆" "に"	"conversely"
"逆" "に"	"on the contrary"
"逆" "作用"	"reaction"
"逆" "回転"	"counter"
"逆" "飛び込み"	"header"
"逆" "飛び込み"	"plunge"
"逆さ"	"reverse"
"逆さ"	"upside down"
"逆さ"	"upside" "down"
"逆さま"	"upside down"
"逆さま"	"upside" "down"
"逆なで"	"irritating"
"逆らう"	"defy"
"逆らう"	"disobey"
"逆らう"	"oppose"
"逆コース"	"reversion"
"逆上"	"distraction"
"逆上"	"frenzy"
"逆戻り"	"reversal"
"逆撫で"	"irritating"
"逆様"	"upside down"
"逆様"	"upside" "down"
"逆立ち"	"handstand"
"逆立てる"	"ruffle"
"逆算"	"count"
"逆行"	"adverse"
"逆説"	"paradox"
"逆説" "的"	"paradoxical"
"逆転"	"change"
"逆転"	"reversal"
"透かす"	"prune"
"透かす"	"space"
"透き通る"	"transparent"
"透く"	"transparent"
"透ける"	"transparent"
"透視"	"clairvoyance"
"透視" "度"	"clearness"
"透視" "度"	"visibility"
"逐一"	"one by one"
"逐次"	"sequential"
"逐次"	"sequentially"
"逐次"	"successively"
"逓信"	"communications"
"途"	"course"
"途"	"distance"
"途"	"field"
"途"	"lane"
"途"	"means"
"途"	"method"
"途"	"path"
"途"	"road"
"途"	"route"
"途"	"street"
"途"	"subject"
"途"	"way"
"途"	"ways"
"途" "切らす"	"interrupt"
"途上"	"en route"
"途上"	"en" "route"
"途中"	"en route"
"途中"	"en" "route"
"途中"	"midway"
"途中" "下車"	"stopover"
"途切れる"	"pause"
"途方"	"destination"
"途方"	"reason"
"途方"	"way"
"途端"	"just"
"途絶"	"cessation"
"途絶"	"interruption"
"途絶"	"suspension"
"途絶える"	"cease"
"途絶える"	"stop"
"逗留" "客"	"visitor"
"這う"	"crawl"
"這う"	"creep"
"通"	"authority"
"通" "気孔"	"vent"
"通" "流"	"conduction"
"通" "研"	"laboratory"
"通" "解"	"commentary"
"通" "解"	"explanation"
"通い" "路"	"route"
"通う"	"attend"
"通う"	"commute"
"通し"	"direct"
"通し"	"straight"
"通じ"	"evacuation"
"通じ"	"understanding"
"通じ" "て"	"through"
"通じ" "て"	"via"
"通じ" "合う"	"understand"
"通じる"	"communicate"
"通じる"	"understand"
"通す"	"continue"
"通す"	"keep"
"通す"	"overlook"
"通ずる"	"communicate"
"通ずる"	"understand"
"通り"	"avenue"
"通り"	"street"
"通り"	"way"
"通り" "一遍"	"casual"
"通り" "一遍"	"conventional"
"通り" "一遍"	"perfunctory"
"通り" "一遍"	"superficial"
"通り言葉"	"argot"
"通り過ぎる"	"pass"
"通り道"	"passage"
"通り道"	"path"
"通り道"	"route"
"通り雨"	"shower"
"通る"	"attend"
"通る"	"pass"
"通例"	"customarily"
"通例"	"usually"
"通信"	"communication"
"通信"	"correspondence"
"通信"	"news"
"通信"	"signal"
"通信"	"transmission"
"通信" "文"	"message"
"通信" "装置"	"terminal"
"通信" "規約"	"protocol"
"通信" "費"	"postage"
"通信" "路"	"channel"
"通信" "量"	"traffic"
"通信員"	"correspondent"
"通信衛星"	"BS"
"通勤" "者"	"commuter"
"通告"	"announcement"
"通告"	"notice"
"通商"	"commerce"
"通商"	"trade"
"通報"	"bulletin"
"通報"	"message"
"通報"	"report"
"通報"	"tip"
"通夜"	"wake"
"通常"	"common"
"通常"	"general"
"通常"	"normal"
"通常"	"usual"
"通年"	"year round"
"通年"	"year" "round"
"通用"	"circulation"
"通知"	"notice"
"通知"	"notification"
"通知"	"posting"
"通知"	"report"
"通知" "書"	"notification"
"通知" "状"	"notice"
"通称"	"alias"
"通称"	"nickname"
"通称" "名"	"alias"
"通称" "名"	"nickname"
"通算"	"total"
"通行"	"passage"
"通行" "上"	"closure"
"通行" "税"	"toll"
"通行止め"	"closure"
"通訳"	"interpretation"
"通貨"	"currency"
"通路"	"passage"
"通路"	"pathway"
"通路" "側"	"aisle"
"通過"	"transit"
"通過" "判定"	"pass"
"通達"	"directive"
"通達"	"notification"
"逝く"	"die"
"逝去"	"death"
"逞しい"	"burly"
"逞しい"	"strong"
"逞しい"	"sturdy"
"速"	"gear"
"速"	"speed"
"速" "分かり"	"guidebook"
"速" "分かり"	"handbook"
"速" "業"	"feat"
"速い"	"brisk"
"速い"	"early"
"速い"	"easy"
"速い"	"fast"
"速い"	"hasty"
"速い"	"not yet"
"速い"	"not" "yet"
"速い"	"premature"
"速い"	"quick"
"速い"	"simple"
"速い"	"soon"
"速さ"	"speed"
"速まる"	"hasty"
"速まる"	"quicken"
"速まる"	"rash"
"速める"	"accelerate"
"速める"	"expedite"
"速める"	"hasten"
"速める"	"precipitate"
"速める"	"quicken"
"速やか"	"prompt"
"速やか"	"smooth"
"速度"	"rate"
"速度"	"speed"
"速度"	"velocity"
"速達"	"express"
"造り"	"appearance"
"造り"	"form"
"造り"	"making"
"造り"	"structure"
"造り" "付け"	"fixed"
"造り" "手"	"builder"
"造り" "手"	"creator"
"造り" "手"	"maker"
"造り出す"	"invent"
"造り出す"	"manufacture"
"造り出す"	"produce"
"造り出す"	"raise"
"造る"	"brew"
"造る"	"build"
"造る"	"coin"
"造る"	"commit"
"造る"	"compose"
"造る"	"construct"
"造る"	"create"
"造る"	"cultivate"
"造る"	"establish"
"造る"	"fabricate"
"造る"	"form"
"造る"	"found"
"造る"	"grow"
"造る"	"have"
"造る"	"make up"
"造る"	"make"
"造る"	"make" "up"
"造る"	"manufacture"
"造る"	"organise"
"造る"	"organize"
"造る"	"prepare"
"造る"	"produce"
"造る"	"raise"
"造る"	"set"
"造る"	"till"
"造る"	"train"
"造る"	"write"
"造作"	"difficulty"
"造作"	"making"
"造作"	"trouble"
"造作" "ない"	"easy"
"造作" "無い"	"easy"
"造反"	"rebellion"
"造営"	"building"
"造営"	"construction"
"造成"	"clearing"
"造成"	"creation"
"造林"	"forestation"
"造林" "学"	"forestry"
"造船"	"shipbuilding"
"造詣"	"scholarship"
"逢う"	"encounter"
"逢う"	"meet"
"逢瀬"	"date"
"逢瀬"	"meeting"
"逢瀬"	"rendezvous"
"連"	"company"
"連"	"group"
"連"	"party"
"連"	"tribe"
"連" "去る"	"kidnap"
"連なる"	"extend"
"連ねる"	"join"
"連ねる"	"link"
"連れ"	"companion"
"連れ"	"company"
"連れて"	"as"
"連れる"	"lead"
"連れる"	"take"
"連れ出す"	"take out"
"連れ出す"	"take" "out"
"連れ去る"	"kidnap"
"連れ込む"	"bring"
"連中"	"a lot"
"連中"	"a" "lot"
"連中"	"company"
"連係"	"connection"
"連係"	"link"
"連係"	"linkage"
"連動"	"linkage"
"連動" "性"	"linkage"
"連動" "性"	"relationship"
"連合"	"alliance"
"連合"	"combination"
"連合"	"union"
"連合" "会"	"association"
"連合" "会"	"federation"
"連帯"	"collective"
"連帯"	"joint"
"連帯"	"solidarity"
"連想"	"association"
"連想"	"suggestion"
"連打"	"barrage"
"連接"	"connection"
"連接" "的"	"coherent"
"連携"	"cooperation"
"連携"	"coordination"
"連携"	"link"
"連日"	"prolonged"
"連盟"	"alliance"
"連盟"	"league"
"連盟"	"union"
"連立"	"alliance"
"連立"	"coalition"
"連結"	"connection"
"連結"	"coupling"
"連結"	"link"
"連結" "器"	"connector"
"連結" "性"	"connectivity"
"連結" "網"	"web"
"連絡"	"call"
"連絡"	"communication"
"連絡"	"connection"
"連絡"	"contact"
"連絡"	"coordination"
"連絡"	"junction"
"連絡"	"message"
"連絡" "網"	"network"
"連絡" "通路"	"passageway"
"連続"	"consecutive"
"連続"	"continuity"
"連続"	"serial"
"連続" "性"	"continuity"
"連行"	"taking"
"連衡"	"alliance"
"連記"	"listing"
"連載" "小説"	"serial"
"連邦"	"commonwealth"
"連邦" "国家"	"federation"
"連鎖"	"chain"
"連鎖"	"connection"
"連鎖"	"linkage"
"連隊"	"regiment"
"逮捕"	"apprehension"
"逮捕"	"arrest"
"逮捕"	"capture"
"週"	"week"
"週" "期"	"cycle"
"週" "期"	"period"
"週日"	"weekday"
"週明け"	"Monday"
"週末"	"weekend"
"週間"	"week"
"週間"	"weekly"
"進" "塁"	"advance"
"進" "数"	"base"
"進み"	"progress"
"進み出る"	"volunteer"
"進む"	"advance"
"進む"	"deepen"
"進む"	"heighten"
"進む"	"improve"
"進む"	"precede"
"進める"	"advance"
"進める"	"hasten"
"進める"	"promote"
"進め方"	"format"
"進め方"	"procedure"
"進入"	"entry"
"進入"	"penetration"
"進入" "路"	"approach"
"進出"	"advance"
"進化"	"evolution"
"進化"	"progress"
"進取"	"enterprise"
"進呈"	"presentation"
"進境"	"improvement"
"進境"	"progress"
"進展"	"development"
"進展"	"progress"
"進度"	"progress"
"進捗"	"progress"
"進撃"	"advance"
"進撃"	"charge"
"進攻"	"attack"
"進歩"	"development"
"進歩"	"progress"
"進歩" "性"	"invention"
"進歩的"	"progressive"
"進物"	"gift"
"進物"	"present"
"進級"	"promotion"
"進行"	"advance"
"進行"	"progress"
"進行" "性"	"progressive"
"進言"	"advice"
"進言"	"counsel"
"進言"	"proposal"
"進路"	"course"
"進路"	"route"
"進路" "妨害"	"interference"
"進軍"	"advance"
"進軍"	"march"
"進退"	"movement"
"逸す"	"deviate"
"逸す"	"forget"
"逸す"	"lose"
"逸す"	"miss"
"逸す"	"omit"
"逸す"	"overlook"
"逸する"	"deviate"
"逸する"	"forget"
"逸する"	"lose"
"逸する"	"miss"
"逸する"	"omit"
"逸する"	"overlook"
"逸る"	"impatient"
"逸る"	"impetuous"
"逸る"	"rash"
"逸品"	"gem"
"逸早く"	"promptly"
"逸早く"	"quickly"
"逸脱"	"departure"
"逸脱"	"deviation"
"逸脱"	"omission"
"逸話"	"anecdote"
"逼迫"	"impending"
"遁走"	"escape"
"遂げる"	"accomplish"
"遂げる"	"achieve"
"遂に"	"at last"
"遂に"	"at" "last"
"遂に"	"finally"
"遂行"	"accomplishment"
"遂行"	"execution"
"遅い"	"dull"
"遅い"	"late"
"遅い"	"slow"
"遅い"	"stupid"
"遅く"	"late"
"遅くとも"	"at the latest"
"遅らす"	"delay"
"遅らす"	"retard"
"遅れ"	"delay"
"遅れ"	"lag"
"遅れ"	"postponement"
"遅れる"	"delayed"
"遅れる"	"late"
"遅れる"	"overdue"
"遅延"	"delay"
"遅滞"	"delay"
"遇う"	"encounter"
"遇う"	"meet"
"遊ばす"	"do"
"遊び"	"play"
"遊び" "事"	"diversion"
"遊び" "事"	"game"
"遊び" "事"	"recreation"
"遊び" "戯れる"	"frolic"
"遊び" "時間"	"recess"
"遊び" "道具"	"toy"
"遊び場"	"playground"
"遊ぶ"	"idle"
"遊ぶ"	"play"
"遊ぶ"	"unused"
"遊女"	"prostitute"
"遊山"	"excursion"
"遊山"	"outing"
"遊山"	"picnic"
"遊戯"	"game"
"遊戯"	"play"
"遊戯"	"sports"
"遊戯" "的"	"playful"
"遊技"	"games"
"遊泳"	"swimming"
"遊泳" "者"	"swimmer"
"遊覧"	"sightseeing"
"遊覧" "地"	"resort"
"遊覧" "客"	"tourist"
"遊離"	"isolation"
"遊離"	"release"
"遊離"	"separation"
"運"	"fortune"
"運"	"luck"
"運" "ちゃん"	"driver"
"運" "よく"	"luckily"
"運" "良く"	"luckily"
"運び"	"carriage"
"運び"	"pace"
"運び"	"progress"
"運び"	"stage"
"運び"	"step"
"運び" "屋"	"carrier"
"運び" "屋"	"smuggler"
"運ぶ"	"carry"
"運ぶ"	"come"
"運ぶ"	"convey"
"運ぶ"	"go"
"運ぶ"	"move"
"運ぶ"	"proceed"
"運ぶ"	"progress"
"運ぶ"	"transport"
"運ぶ"	"use"
"運ぶ"	"wield"
"運動"	"exercise"
"運動"	"motion"
"運動" "力"	"impetus"
"運動" "員"	"campaigner"
"運動" "家"	"activist"
"運動" "性"	"mobility"
"運動" "者"	"activist"
"運動" "選手"	"athlete"
"運動" "量"	"momentum"
"運動場"	"playground"
"運勢"	"fortune"
"運勢"	"luck"
"運命"	"fate"
"運命的"	"destined"
"運営"	"administration"
"運営"	"management"
"運営"	"operation"
"運営" "経費"	"budget"
"運営" "者"	"administrator"
"運営" "者"	"manager"
"運営" "者"	"provider"
"運営" "費"	"budget"
"運営上"	"operational"
"運悪く"	"unluckily"
"運搬"	"carriage"
"運搬"	"transport"
"運搬" "人"	"carrier"
"運搬" "作用"	"transportation"
"運気"	"fate"
"運気"	"fortune"
"運河"	"canal"
"運河"	"waterway"
"運用"	"application"
"運用"	"investment"
"運用" "者"	"manager"
"運用" "者"	"operator"
"運行"	"motion"
"運行"	"movement"
"運行"	"operation"
"運行"	"revolution"
"運行"	"service"
"運賃"	"fare"
"運転"	"motion"
"運転"	"operation"
"運転" "系統"	"route"
"運転" "者"	"driver"
"運転士"	"driver"
"運転士"	"mate"
"運転士"	"officer"
"運転手"	"driver"
"運輸"	"transportation"
"運輸" "業者"	"carrier"
"運輸" "量"	"traffic"
"運送"	"freight"
"運送"	"transport"
"運送" "人"	"carrier"
"運送" "業者"	"carrier"
"運送" "船"	"freighter"
"遍路"	"pilgrim"
"遍路"	"pilgrimage"
"過" "去る"	"pass"
"過" "振り"	"overdraft"
"過" "行く"	"pass"
"過" "負荷"	"overload"
"過ぎる"	"above"
"過ぎる"	"cross"
"過ぎる"	"elapse"
"過ぎる"	"exceed"
"過ぎる"	"excessive"
"過ぎる"	"over"
"過ぎる"	"pass"
"過ぎる"	"surpass"
"過ぎ去る"	"pass"
"過ぎ行く"	"pass"
"過ごす"	"pass"
"過ごす"	"spend"
"過ち"	"error"
"過ち"	"fault"
"過る"	"cross"
"過分"	"excessive"
"過分"	"generous"
"過剰"	"excess"
"過労"	"overwork"
"過労"	"strain"
"過半数"	"majority"
"過多"	"excess"
"過大"	"excessive"
"過大"	"unreasonable"
"過失"	"accident"
"過失"	"blunder"
"過失"	"defect"
"過失"	"error"
"過失"	"fault"
"過密"	"crowded"
"過度"	"excess"
"過当"	"excessive"
"過渡"	"crossing"
"過渡"	"ferry"
"過渡" "的"	"transitional"
"過激"	"extreme"
"過激"	"radical"
"過程"	"process"
"過誤"	"fault"
"過誤"	"mistake"
"過酷"	"cruelty"
"過酷"	"harsh"
"過酷"	"severity"
"道"	"course"
"道"	"distance"
"道"	"field"
"道"	"lane"
"道"	"means"
"道"	"method"
"道"	"path"
"道"	"province"
"道"	"road"
"道"	"route"
"道"	"street"
"道"	"subject"
"道"	"way"
"道"	"ways"
"道しるべ"	"guide"
"道しるべ"	"signpost"
"道のり"	"distance"
"道のり"	"itinerary"
"道のり"	"journey"
"道のり"	"process"
"道のり"	"way"
"道中"	"journey"
"道具"	"implement"
"道具"	"means"
"道具"	"tool"
"道具" "一式"	"kit"
"道具" "一式"	"outfit"
"道化" "役者"	"clown"
"道化" "芝居"	"farce"
"道徳" "上"	"morally"
"道徳" "性"	"morality"
"道徳的"	"ethical"
"道徳的"	"moral"
"道案内"	"guidance"
"道案内"	"guide"
"道楽"	"hobby"
"道理"	"reason"
"道理"	"truth"
"道理で"	"indeed"
"道程"	"distance"
"道程"	"itinerary"
"道程"	"journey"
"道程"	"process"
"道程"	"way"
"道端"	"roadside"
"道端"	"wayside"
"道筋"	"itinerary"
"道筋"	"path"
"道筋"	"route"
"道義"	"morality"
"道路"	"highway"
"道路"	"road"
"道路標識"	"signpost"
"道順"	"itinerary"
"道順"	"route"
"達" "率"	"coefficient"
"達" "率"	"rate"
"達し"	"notification"
"達す"	"reach"
"達する"	"reach"
"達人"	"expert"
"達人"	"master"
"達成"	"achievement"
"達者"	"skillful"
